Exporter Name,transaction_count,years_active,months_active,countries_served,drug_substances_shipped,sku_variants_shipped,total_fob_inr,city,exporter_address,avg_monthly_shipments,reliability_score
PARMAN HEALTHCARE LLP,17,2,4,1,2,11,33402100.0,ULHASNAGAR,"OPP BLOCK NO C-36 ,SHIV MANDIR ROAD, NETAJI CONTACT NO: 917558229887",4.25,64.3
GLOBYZ BIOPHARMA PRIVATE LIMITED,498,2,20,12,41,353,33353297.40587261,"MUMBAI,MAHARASHTRA ","4B-44A PHOENIX PARAGON,LBS ROAD KU RLA WEST MUMBAI 400070",24.9,63.2
BIOCHEMIX HEALTHCARE PRIVATE LIMITED,89,2,4,3,20,62,33341804.53,"YAMUNA NAGAR, (HARYANA) ","SCO-54, NEAR KANIHYA CHOWK HUDA MARKET TAU DEVI LAL SUB CENTRE",22.25,50.2
NARANG MEDICAL LIMITED,115,2,15,20,17,105,33294256.432827897,NEW DELHI ,"NARANG TOWER, 46 COMMUNITY CENTRE,NARAINA,PH-I",7.67,37.4
BLISS IMPEX,22,2,3,2,4,13,33250685.79,"PATNA,BIHAR ","JAY MANGAL COMPLEX,,MAHENDRUE,",7.33,55.6
ALSALAAM ENTERPRISES,49,2,11,1,1,29,33228525.0,"WARANGAL,TELANGANA ","SSS RESIDENCY LB NAGAR,",4.45,43.1
KIDS-E-DENTAL LLP,310,2,18,19,1,134,33177079.63787688,"MUMBAI,MAHARASHTRA","B1/27A, VIVEK CHSL, PODDAR BLOCK,BESANT STREET, SANTACRUZ WEST",17.22,56.8
COTEC HEALTHCARE PRIVATE LIMITED,73,2,7,2,17,60,33111169.664180428,DELHI ,"2/1-B, D-BLOCK, EAST AZAD NAGAR,",10.43,51.8
LVIRGO PHARMA,84,2,6,1,8,77,32988441.61341181,"NEW DELHI,DELHI ","D-144, SECOND FLOOR,,OKHLA INDUSTR IAL AREA PHASE-I",14.0,68.0
ZYNEX LIFESCIENCE LLP,67,2,6,1,15,49,32974088.51,"AHMEDABAD,GUJARAT ","709,SHREE BALAJI HIGHTS,,NR.BODYLI NE,C.G ROAD,ELLISBRIDGE",11.17,51.5
GENAIDE PHARMACEUTICAL LLP,77,2,15,4,12,64,32969009.140163485,AHMEDABAD,"12/A, SUN RESIDENCY BUNGLOWS,OPP. UPVAN BUNGLOWS, THALTEJ",5.13,55.2
UNIHEALTH PHARMACEUTICALS PRIVATE LIMITED,78,2,10,3,2,66,32916474.59416552,MUMBAI ,"23 , R JIVRAJ SHAMJI BLDG., 52/58 BABU GENU RD., KALBADEVI,",7.8,39.3
TORO PHARMACEUTICALS PRIVATE LIMITED,1509,2,11,11,61,542,32880573.77,,N/AN/A,137.18,75.5
AKSHARAM PHARMA PRIVATE LIMITED,23,2,6,3,10,16,32858381.1,AHMEDABAD,"403, MAURYANSH ELANZA BH PAREKH HOSPITAL,SHYAMAL CROSS ROAD, SATELLITE",3.83,52.4
MED BIOPHARM PRIVATE LIMITED,39,2,10,5,10,37,32733778.919754278,GREATER NOIDA,"J-008DELTA 2, NOIDA",3.9,60.0
GENERAL DRUG PRIVATE LIMITED,127,2,16,4,26,85,32704315.92,MUMBAI MAHARASHTRA ,"1ST FLR., HIRA HOUSE, 381-383, SVP ROAD,",7.94,49.7
RR LABORATORIES,26,2,9,4,8,25,32654493.12,"KURUKSHETRA,HARYANA ","PLOT NO. 38, SECTOR-2,,INDUSTRIAL AREA KURUKSHETRA,",2.89,58.8
PARAMITA SOLUTIONS,22,2,6,2,2,16,32646105.2,HYDERABAD,"PLOT NO.30, SRI SAI HAPPY HOMES,MANNEGUDA,, HYDERABAD, RANGA REDDY, TELANGANA",3.67,60.2
YAYANTI EXIM LLP,50,2,10,3,6,42,32627689.82,"MUMBAI,MAHARASHTRA ","2-601 ,OM GOKUL GARDEN,,THAKUR COM PLEX, KANDIVALI EAST,",5.0,47.3
IPROCESS CLINICAL MARKETING PRIVATE LIMITED,110,2,18,5,1,78,32543237.66,BANGALORE ,"910, BNGADE TOWERS, BRIGADE ROAD,",6.11,62.1
S K DIAGNOSTIC,21,2,9,2,1,10,32513468.16,VADODARA,TOWER I FLAT NO 202 BALAJI PLATINA B/H BHAGIRATH PARTY PLOTNR. NARAYAN SCHOOL WAGHODIA,2.33,55.5
APEX HEALTH CARE,19,2,7,1,2,15,32467491.330000002,,"NO.34-1190, SATHYAMMA GUDI STREET, MURUKAMBATTU,",2.71,74.1
NORDEA LIFESCIENCE PRIVATE LIMITED,16,2,2,1,3,5,32429972.15,DELHI ,"A 456, SHASTRI NAGAR",8.0,100.0
PARTHI TRADERS,478,1,7,1,18,474,32314212.741992585,"SURAT,GUJARAT ","2 59 GROUND FLOOR FARAAM MAHOLLO,R USTOMPURA",68.29,77.8
R P TRADING COMPANY,735,2,9,1,4,577,32293047.65,DELHI,"32,POCKET-E,SECTOR-4 INDUSTRIAL AREA BAWANANORTH WEST DELHI",81.67,58.9
DIVINE ENERGY,32,2,10,5,2,32,32258339.35,AHMEDABAD ,"SHREE SWAMINARAIN MANDIR, 4TH FLOORDHARMASADAN, SHAHIBAG",3.2,64.6
ESKAY IODINE PRIVATE LIMITED,25,2,7,4,1,21,32255823.99,"MUMBAI, MAHARASHTRA ","3 - A , SHIVSAGAR ESTATE, DR. ANNIE BESANT ROAD, WORLI,",3.57,60.1
IVM PHARMACIA,17,2,7,3,6,17,32222014.22,"BADDI,HIMACHAL PRADESH ","PLOT NO 5, INDUSTRIAL TOWNSHIP,BHA TOLIKALAN",2.43,52.2
KEPS MEDICARE,2425,2,5,1,97,968,32155112.177104272,"GANDHI MARG, MUMBAI, MAHARASHTRA ","DEVKARAN MANSION BLDG NO.1, 2ND FLOOR, R NO. 3, SHAMLADAS",485.0,61.9
RUAN LIFE SCIENCES PRIVATE LIMITED,41,2,13,1,9,41,32132056.592856556,"DELHI,DELHI ","211, 2ND FLOOR, CHANAKYA COMPLEX,B -10 &AMP; 11, LAXMI NAGAR",3.15,43.5
ZEAL PHARMA,1023,2,20,2,100,837,32083179.01827897,NEW KOSAD ROAD AMROLI,"SHOP NO 104, 1ST FLOOR, BUILDING NO BSHANTINIKETAN BUSINESS PLAZA",51.15,51.3
Pharm Asia Drug,70,2,8,2,6,47,31908994.74,INDORE,"20-21 PANCHAL COMPOUND, SURVEY NO. 78/1, P.H. NO. 45GRAM LASUDIA MORI DEWAS NAKA",8.75,52.9
BANGALORE PHARMACEUTICAL AND RESEARCH LABORATORY P,33,2,11,3,4,19,31895369.6,"BANGALORE, KARNATAKA ","REGD.OFFICE: NO.163,RESERVOIR STREET, BASAVANAGUDI",3.0,42.6
MANARTI EXPORTS,119,2,16,11,11,110,31826222.81,"NEW DELHI,DELHI ","237D, DG-2, SFS FLAT,VIKAS PURI, W EST DELHI",7.44,52.3
INNOVA HEALTHCARE,54,2,10,1,1,44,31811426.03047584,"SANTACRUZ EAST,MAHARASHTRA ","104 CREATIVE INDUSTRIES PREMISES,S UNDER NAGAR KALINA",5.4,50.1
SHAH TRADING CORPORATION,15,2,12,3,1,8,31809777.400000002,"NEW SILK BAZAR, MUMBAI. ","ROOM NO 35, 2ND FLR,SHRI KRISHNA NIVAS, 500 KALBADEVI ROAD,",1.25,66.8
DIOSMA LIFESCIENCES PRIVATE LIMITED,81,2,10,2,11,70,31804284.909283478,VASAI,"SHOP NO 10, GALAXY III CO OP HSG SOC LTD.OM NAGAR, AMBADI ROAD, DHURI COMPLEX, VASAI ROAD WEST.",8.1,62.4
VRNDA PHARMA PRIVATE LIMITED,4,2,3,1,2,4,31716925.681285657,"MUMBAI,MAHARASHTRA ","1 B 10, PHONIX PARAGON PLAZA,,LBS MARG, KAMANI, KURLA -WEST",1.33,69.8
SHAIRA INTERNATIONAL,1651,2,17,2,54,1028,31712478.846724693,"MUMBAI,MAHARASHTRA ","818 MASTERMIND 5, ROYAL PALM,AAREY COLONY",97.12,52.2
RIDLEY LIFE SCIENCE PRIVATE LIMITED,112,1,4,2,39,104,31670000.0,DELHI ,"D-1651, DSIDC INDUSTRIAL COMPLEX NARELA",28.0,60.0
LEOWIN HEALTHCARE LLP,649,2,16,3,46,546,31635349.98,"Ahmedabad,","1ST FLOOR, SHOP NO. F - 2, THIRD EYE RESIDENCY,NEAR KAMESWAR FLATS NR. SANGATH-4, MOTERA,",40.56,55.1
NAGINDAS HIRALAL BHAYANI,4,1,3,2,1,4,31608000.0,BHAVNAGAR/GUJARAT ,"305,MADHAV DARSHAN, WAGHAWADI ROAD,",1.33,69.8
SASHWAT PHARMACEUTICALS PRIVATE LIMITED,117,2,8,1,16,71,31589842.63,"NEW DELHI,DELHI ","PLOT NO 19, KH NO 9/6,QUTUB VIHAR, PHASE-I, E-BLOCK",14.62,64.6
OVIANI CORPORATION,16,2,4,1,2,11,31572177.363856968,"THANE WEST,MAHARASHTRA ","7/A ATLANATA COSMOS SPRINGS NEAR,M AHINDRA SHOWROOM G B ROAD",4.0,55.8
PREMIER NUTRACEUTICALS PRIVATE LIMITED,12,2,7,1,1,9,31442400.0,"KANDIVALI-E,MUMBAI, MAHARASHTRA. ","271, TOWER-A,KALPATARU TOWERS, OFF.AKURLI ROAD,OPP.ESIS HOSPITAL",1.71,69.4
TANISHQ LIFECARE,152,2,13,7,9,80,31441904.473470725,"AHMEDABAD,GUJARAT ","310, THE GRAND MONARCH,100FT. SHYA MAL ROAD,SATELLITE",11.69,53.4
CUIDADO MEDICO PRIVATE LIMITED,133,2,14,4,22,89,31367715.29993177,"ROAD, SOLA, AHMEDABAD ","270,271 272, 2ND FLOOR,SUKUN ESTATEN. PANCHAM-I BUNGLOWS,SCIENCE CITY",9.5,55.3
UNILAB CHEMICALS AND PHARMACEUTICALS PRIVATE LIMIT,24,2,9,6,1,17,31272580.2,"MUMBAI, MAHARASHTRA ","107/108,ANJANI COMPLEX,PARERA HILL RD.,OFF.ANDHERI KURLA RD.,ANDHERI(E",2.67,58.8
MEDIZANT LIFECARE PRIVATE LIMITED,34,2,9,4,9,32,31254042.184064284,MUMBAI,"FLAT NO.1 / B-5,1ST FLOOR, DEVKI NAGAR CHS,ESKAR ROAD, BORIVALI WEST",3.78,64.2
COSMOS PHARMA,594,2,20,2,51,327,31250633.575177833,"THANE, MAHARASHTRA ","A-102,SHIV SAMARPAN,R.N.P. PARK, BHAYANDER (EAST),",29.7,58.9
HCX PHARMACEUTICALS LLP,200,2,15,8,19,146,31163531.56803908,SURAT,"PLOT NO 583VARSHA CO-OP HO SO LTD-2, VARACHHA ROAD, MATAWADI",13.33,57.2
AMBICA PHARMA SALES,34,2,13,6,9,31,31124643.29,"MUMBAI, M.S. ","ROOM NO.9, VASANI CENTRE, 28, BABU GENU ROAD,",2.62,50.2
PHARVINEX HEALTHCARE PRIVATE LIMITED,12,2,9,2,2,9,31092858.0,"HYDERABAD,TELANGANA ","HNO187 B 4TH FLOOR NEAR BKGUDAPARK ,SANJEEVA REDDY NAGAR",1.33,65.3
SAN MARINO IMPEX,12880,2,16,3,32,550,31054836.48196546,MUMBAI,"GROUND FLOOR,231/1845,MOTILAL NAGAR NO 01, ROAD NO 5, GOREGAON WEST",805.0,71.3
ARN PHARMA PRIVATE LIMITED,192,2,12,2,19,85,31052490.13591521,NEW DELHI,"OFFICE NO-114, FIRST FLOOR, AASHIRWAD COMMERCIAL COMPLEXPROPERTY NO K-84, D-1 GREEN PARK,",16.0,36.6
COMED CHEMICALS LIMITED,32,2,8,3,11,27,30952022.0,BARODA GUJARAT ,3RD FLOOR ORIENT BUSINESS CENTRE SAYAJIGUNJ,4.0,44.4
LOTUS LABS PRIVATE LIMITED,18,2,10,4,3,17,30941656.770008117,"BED AREA,VASANTHNAGAR,BANGALORE ","NO.7,JASMA BHAVAN ROAD, OPP.GURUNANAK BHAVAN,MILLERS TANK",1.8,63.5
SANIVEX HEALTHCARE PRIVATE LIMITED,171,2,13,4,9,47,30921689.456842907,JUNAGADH,MADHAV PARK SHOP NO 3NEAR RAILWAY FATAK KHAMDHROL,13.15,44.1
RHUCHA DENT MARK,87,2,16,10,1,77,30920664.23,"DIST. THANE, MAHARASHTRA ","10, SHEETAL, M.G. ROAD, OPP RAILWAYSTATION, DOMBIVLI WEST,",5.44,51.1
LIFEON PHARMACEUTICALS,613,2,20,1,49,284,30842519.149898298,"SURAT,GUJARAT ","G/13, EMPIRE STATE BUILING,RING RO AD",30.65,80.0
JUPITER HEALTH HEALERS,96,2,10,3,9,70,30830774.858285543,"MAYUR VIHAR PHASE II,DELHI ","UNIT NO. F-5, FIRST FLOOR, MANISH, CHAMBERS LSC, POCKET-B,",9.6,54.5
REBORN EXPORTS PRIVATE LIMITED,277,2,18,1,32,169,30819188.85988796,MUMBAI,1 2FLR AMRUTANJAN NIWAS 6 TADWADICHIRA BAZAR R S NAVALKAR LANE CONTACT NO: 919029386540,15.39,53.8
HINDUSTAN BIOPHARMA PRIVATE LIMITED,10,2,4,2,3,10,30729758.89,BHIWADI,"153/53 RIICO IND AREA GHATAL ROAD, BEHIND GRAND METRO PHOOLBAGHNULL",2.5,59.1
QIK EXPORTS,700,2,20,4,4,256,30595938.35,"MUMBAI,MAHARASHTRA , ","SAIFI MAHAL, A.G. BELL MARG, MALABAR HILL",35.0,59.4
LAXSAN PHARMACEUTICALS,479,2,14,1,59,383,30593088.655000687,VILUPPURAM,"17, GROUND FLOOR, IIND CROSS STREETANNA NAGAR, MANUR",34.21,66.8
VIOTONIC MEDICATION,207,2,13,2,24,121,30567868.717888027,"SURAT,GUJARAT ","2ND FLOOR,2/811-812,AARADHNA APT., SAGRAMPURA, BHANDARIWAD",15.92,39.0
HAMDARD LABORATORIES INDIA,278,2,17,11,1,249,30538102.722623177,NEW DELHI ,"2A/3, ASAF ALI ROAD",16.35,49.2
ALBIOS LIFESCIENCES PRIVATE LIMITED,18,2,8,4,8,18,30532510.62,"AHMEDABAD, GUJARAT ","C-624, SIDDHIVINAYAK TOWER,B/H:DCP OFFICE,OFF:S.G.HIGH.W.,MAKARBA,",2.25,63.7
MAZORAT PHARMA,75,2,6,2,7,53,30519044.09,VADODARA,"SF-76/77, SHRI SIDDHESHWAR HARBOURWAGHODIA RINGH ROAD , NR. SWAMINARAYAN GURUKUL , NH-8",12.5,51.0
INTERNATIONAL HEALTHCARE LIMITED,51,2,13,8,1,34,30495510.95,VIJAYAWADA. AP. ,"40-9-60, KALANAGAR,",3.92,58.8
NEW UDAYA PHARMACY & AYURVEDIC LABORATORIES,168,2,8,4,3,96,30474524.8422644,"KADAVANTHRA,KOCHI,KERALA-","WARD NO.28, BUILDING NO.28/3167, 28/3168,RAVINDRA",21.0,38.0
DNA INTERNATIONAL,272,2,19,2,1,140,30466179.13,"MUMBAI, MAHARASHTRA ","AVANTI, S.V.ROAD, SANTACRUZ (W),",14.32,65.0
AARRYAMAN LIFE CARE,36,1,5,2,2,8,30452000.0,BHIWANDI THANE,"1ST FLOOR, 15, JAI MATADI COMPOUND,RAJLAXMI COMPLEX ROAD, CONTACT NO: 917021418142",7.2,60.2
MUCH MORE INDIA,636,1,6,2,3,348,30445633.35,,N/AN/A,106.0,50.1
KARNANI PHARMACEUTICALS PVT LTD,108,2,4,1,2,37,30409460.509999998,"MUMBAI, MAHARASHTRA ","19/23, VITHOBALANE VITHALWADI",27.0,40.9
FASTTRACK INTERNATIONAL ENTERPRISES PRIVATE LIMITE,36,2,5,1,1,25,30394130.87,AHMEDABAD,"OFFICE NO 1208-E, TITANIUM CITY CENTER,NR. SACHIN TOWERS, ANANDNAGAR, SATELLITE",7.2,58.7
EYEGEN MEDICAL LLP,379,2,19,19,24,274,30382810.58827897,"CHENNAI,TAMIL NADU ","NEW NO.7, OLD NO.18, FIRST FLOOR,, VANNARAPATHAI, KODAMBAKKAM",19.95,41.7
TLS MERCANTILE PRIVATE LIMITED,6,1,2,1,1,5,30379598.280081287,,"213, PUKHRAJ CORPORTE, OPP. NAVLAKHA BUS STAND, INDORE",3.0,68.0
Swasthya Healthcare,47,2,9,3,15,36,30359331.100162573,"THANE,MAHARASHTRA ","B 203 AMRUT BAUG,MANISHA NAGAR KAL WA THANE",5.22,61.5
MEDICHEM PHARMACEUTICAL INDIA PRIVATE LIMITED,5,2,3,2,2,4,30343737.72,DELHI ,"G-116,DILSHAD COLONY",1.67,74.3
PUROBIEN LIFESCIENCES,55,2,4,2,11,33,30338891.68,"BADDI,HIMACHAL PRADESH ","PLOT NO 53 EPIP PHASE 1 JHARMAJRI,",13.75,42.1
T STANES AND COMPANY LIMITED,118,2,15,8,1,107,30215664.19,COIMBATORE ,8/23-24 RACE COURSE ROAD,7.87,62.8
KASO PHARMACEUTICALS,499,2,9,2,19,378,30213263.04,NEW DELHI,"A-25/17, 1ST FLOOR , SUJAN SINGH, BUILDING, MIDDLE CIRCLE NEW DELHINULL",55.44,59.1
S.D. INTERNATIONAL,10,1,4,1,3,10,30212629.24,"DELHI,DELHI ","31 GROUND FLOOR SRI NAGAR COLONY,B HARAT NAGAR ROAD",2.5,65.9
VEDANT INCORPORATION,61,2,13,6,6,56,30204414.59,DISTT. JHAJJAR HARYANA ,"KHASRA NO. 799/2, VILL. ASODHA BALAJI, INDUSTRIAL AREA, BAHADURGARH",4.69,48.0
AADPRI OPHTHALMIC COMPANY,239,2,20,10,5,138,30195963.12,AHMEDABAD ,"22,SURABHI FLAT, NR. NAND BUNGLOW JANATANAGAR ROAD, GHATLODIA",11.95,63.0
AARRYAMAN LIFE CARE (OPC) PRIVATE LIMITED,21,2,3,2,2,15,30183973.54,,N/AN/A,7.0,63.6
SHOBHA MEDICINE,111,2,4,2,11,81,30177491.11,"BHAGIRATH PALACE,DELHI ","PVT OFFICE NO 8 GF,PROP MC 1681,MA NGAL MARKET JOGDHIAN COLONY",27.75,55.3
YOGI CARE PHARMACEUTICAL PRIVATE LIMITED,64,2,10,3,13,54,30147982.49,AHMEDABAD,"OFFICE-1113, 1114 BINORI B- SQUARE-3, SINDHU BHAWAN ROADNR. TRADE BULLS. BODAKDEV",6.4,60.6
ALLIEVA PHARMA PRIVATE LIMITED,276,2,9,2,29,227,30139143.0,"DELHI,DELHI ","G 62 ARUNA PARK,SHAKARPUR DELHI",30.67,50.1
SAI EXPORTS,560,2,7,2,3,393,29945001.580000002,NEW DELHI,F-489 TILAK NAGAR VIKAS PURI NEW DELHI 110018NULL,80.0,56.9
ADNOVA HEALTHCARE PRIVATE LIMITED,88,2,10,6,23,83,29942641.36,"WAGHODIA,GUJARAT ","156 157 A SIDDHI INDUSTRIAL ,INFRASTRUCTURE PARK",8.8,53.9
SURGEWAY BIOSCIENCES,33,2,9,4,5,24,29922334.99,"BANGALORE,KARNATAKA ","NO 32 3RD MAIN ROAD MOUNT JOY EXT, HANUMANTHANAGAR",3.67,55.3
TENCH LIFE SCIENCES LLP,84,2,9,2,18,63,29899304.788386244,"SURAT,GUJARAT ","4TH FLOOR, FLAT-402, SY. NO.-70/2, PLOT-65/AB,RATNAKUNJ APT.,CITY LIGH",9.33,59.9
SHREE ANAND LIFE SCIENCES LIMITED,31,2,4,4,8,24,29898406.75,,"N0. 318/3, B, ROY ROAD, TILAKWADI",7.75,55.4
NIXI LABORATORIES PRIVATE LIMITED,34,2,8,8,5,23,29837462.7,KALA AMB,"VILLAGE KHARA KHARI, OGLI, OGLI,SIRMAUR, HIMACHAL PRADESH",4.25,61.5
SPR ONCOCARE PRIVATE LIMITED,235,2,19,12,22,153,29783487.63,BANGALORE ,"12/1, 100 FEET VARTHULA ROAD, ANJANEYA NAGAR, KATHRIGUPPA",12.37,31.6
TTK HEALTHCARE LIMITED,69,2,17,5,1,26,29657158.5,CHENNAI/TAMILNADU ,"NO.6, CATHEDRAL ROAD,",4.06,69.5
DEVINE MEDITECH,582,2,20,27,27,516,29640074.975434765,NEW DELHI ,"E-41/5, OKHLA INDUSTRIEL AREA, PHASE-II",29.1,47.3
JYOTI IMPEX,2049,2,16,1,109,1434,29614395.693950675,MAHARASHTRA ,"201 SAI INFOTECH, R.B. MEHTA MARG, GHATKOPAR (E), MUMBAI,",128.06,52.7
THURS ORGANICS PRIVATE LIMITED,57,2,18,5,1,20,29574142.11131159,"MAHIM, MUMBAI ","UNIT NO.19, UDYOG MANDIR, 1 PITAMBER LANE,",3.17,56.1
J.S. INTERNATIONAL,87,2,9,3,15,51,29539178.78,NEW DELHI ,"886/6-GALI CHANDI WALI MAIN BAZAR,PAHAR GANJ",9.67,38.5
K.S. SURGICAL PRIVATE LIMITED,267,2,20,3,1,80,29394851.05,"UTTAR PRADESH,UTTAR PRADESH ","KHASRA NO-1265/2 BEGMABAD-BUDANA,U NCHI SARAK MODINAGAR",13.35,61.3
OSMED FORMULATIONS PRIVATE LIMITED,159,1,2,1,21,59,29388000.0,"UJJAIN, M.P. ","56-57, INDUSTRIAL AREA, MAXI ROAD,",79.5,47.8
HANSRAJ FERTILIZERS AND CHEMICALS PRIVATE LIMITED,22,2,7,3,1,17,29318656.42,CIVIL LINES,"PLOT NO. 166, AMRTA MANORBUNGALOW NO. 2, 1ST FLOOR",3.14,56.6
GREENCROSS EXPORT PRIVATE LIMITED,31,2,12,1,3,17,29211111.51,AHMEDABAD,"30, AROHI VILLA, S.P. RING ROAD, BOPAL,",2.58,52.3
BURHANI GLOBAL,177,2,10,2,8,165,29202141.3,Morbi,"01, VORAVAD, NANI BAZAR, SAIFEE MAHOLLA, MORBI, MORBI, GUJARAT,NULL",17.7,62.6
SACHI PHARMA PRIVATE LIMITED,8,1,3,1,1,8,29169000.000325143,"AMRAVATI, MAHARASHTRA","FIRST FLOOR,KALASH, PLOT NO 42VISHNU NAGAR",2.67,69.8
DONAS DRUGS AND PHARMACEUTICALS PRIVATE LIMITED,10,2,2,2,5,6,29144796.33,"CHENNAI,TAMIL NADU ","NNO.11/3,ONO.6/3,2NDFLOOR MEZZANIN E,BHARATHI NAGAR, 4TH STREET, T NAG",5.0,54.1
INVENGENE LIMITED,10,1,2,2,1,5,29137887.5,,N/AN/A,5.0,63.9
RICHMEL LIFE SCIENCES PRIVATE LIMITED,69,2,5,3,2,40,29054616.917559803,"DELHI,DELHI ","B-80, NEW NO-B1304,NEW ASHOK NAGAR",13.8,69.6
ESKAG PHARMA PVT LTD,78,2,7,4,4,34,28954683.675069675,KOLKATA (W.B.) ,"P-192, BLOCK-B, LAKE TOWN, 2ND FLOOR,",11.14,46.7
ACCENT PHARMACEUTICALS & DIAGNOSTICS,153,2,6,3,16,90,28936889.96,NEW DELHI ,"10874, IST FLOOR, JHANDEWALAN ROAD NABI KARIM",25.5,67.6
SURGI AID LIFECARE PRIVATE LIMITED,28,2,11,1,1,5,28926804.75,SURAT/GUJARAT ,"D-44/3, ROAD NO.19, HOJIWALA IND. EST., SACHIN PALSANA ROAD, VANZ",2.55,67.7
SPANSULES FORMULATIONS INDIA PRIVATE LIMITED,10,2,7,5,3,7,28874138.0,Kukatpally,"3RD FLOOR, MIG 57DHARMA REDDY COLONY",1.43,72.8
NUMED PHARMA DISTRIBUTOR,934,2,9,2,66,519,28775992.14,"MANGAON,MAHARASHTRA ","SHOP NO. 2 HOUSE 369,AT &AMP; POST SAI , TAL-MANGAON",103.78,59.4
FAVISOR LIFE SCIENCES PRIVATE LIMITED,46,2,10,2,7,41,28761795.62,"BENGALURU,KARNATAKA ","UNIT NO. 211, 2ND FLOOR, NO. 155,, RAJ TOWERS, COTTONPET MAIN ROAD",4.6,57.7
AZANTIS LIFE SCIENCES PRIVATE LIMITED,47,2,11,2,1,43,28756127.46086245,"MIRA ROAD EAST THANE,MAHARASHTRA ","SHOP NO 2 SAMARPAN CHS,UNIQUE GARD EN NEXT TO RBK COLLEGE",4.27,37.8
ISHA AGRO DEVELOPERS PRIVATE LIMITED,522,2,20,17,4,326,28751403.233934764,"MUMBAI, MAHARASHTRA ","PLOT NO.- 33, ABCD GOVT. INDUSTRIALESTATE, CHARKOP, KANDIVALI (WEST),",26.1,59.1
THREEJAY PHARMEX LLP,14,2,5,2,5,11,28687166.39,AHMEDABAD,"PLOT NO-11-12,DRIVE IN TENAMENT,DRIVE IN ROAD, THALTEJ, CONTACT NO: 919879582571",2.8,56.4
MEZ PHARMACEUTICAL PRIVATE LIMITED,84,2,8,4,20,51,28672361.8,New Delhi,403 BLOCK G 2 GALI NO 18SANGAM VIHAR CONTACT NO: 919711456299,10.5,49.2
GEETA TRADING COMPANY,36,1,5,1,1,16,28643000.0,"PUMPS SHANKARSHETH RD., PUNE/MAH. ","S NO. 407, F P NO 300 GHORPADI PETHARCHIES COURT OPP. SARASWATI PETROL",7.2,44.3
KAY & COMPANY,100,2,6,4,1,50,28490956.79,"NEW DELHI      ,",25 NETA JI SUBHASH MARGDARYA GANJ,16.67,38.6
ELIREZ PHARMACEUTICAL,316,2,14,8,40,206,28486910.512686715,SURAT,"506/A, 5TH FLOOR, BLUE POINTSARTHANA JAKATNAKA",22.57,39.9
AQUA VITOE LABORATORIES,24,1,4,1,8,21,28379042.07,,"VILL.KUNJHAL, NEAR BADDI, TEHSIL NALAGARH",6.0,55.1
MEDLINE WORLD SURGICARE PRIVATE LIMITED,150,2,18,2,4,88,28359561.48,DELHI,"C-110/1, 2ND FLOORNARAINA INDUSTRIAL AREA, PHASE 1",8.33,39.1
HUMANBIOLOGICS PRODUCTS AND SERVICES (OPC) PRIVATE,255,2,12,7,3,180,28358580.224820532,"LUCKNOW,UTTAR PRADESH ","13/118 NAWAL KISHORE ROAD,HAZRAT G ANJ",21.25,50.4
MEMPHIS VISION CARE PRIVATE LIMITED,33,2,12,2,2,29,28311920.009999998,"CHHATRAL,GUJARAT ","PLOT NO 450 JAY BANAS METAL PVT.LT D,OPP NIRMA FACTORY, CHHATRAL,",2.75,67.0
TOJO VIKAS INTERNATIONAL PRIVATE LIMITED,3,1,2,1,2,2,28256000.0,DELHI ,"M61 SWATI APARTMENTS,12 MOTHER DAIRY ROAD,PATPARGANJ",1.5,68.0
BHARTI LIFE SCIENCES,23,2,6,1,3,20,28222412.41,"ANDHERI(W),MUMBAI ","403/A-2,4TH FL.C WING MORYA HOUSE VEERA INDL.ESTATE,OSHIWARA LINK RD.",3.83,58.5
S S SERUMS,159,2,12,3,1,118,28177739.39656123,SURAT,"2ND FLOORGHEEWALA CHAMBERS, LAL DARWAJA, SUART",13.25,67.7
BALAJI INTERNATIONAL,55,2,16,2,2,26,28172953.26,"FARIDABAD,HARYANA ","B2-601, SUMMER PALMS, SECTOR-86,FA RIDABAD",3.44,66.3
S ZHAVERI PHARMAKEM PRIVATE LIMITED,22,2,7,3,1,10,28161770.5,"MUMBAI, MAHARASHTRA ","109, SHIV SMRITI CHAMBERS, 49, DR, A.B.ROAD, WORLI,",3.14,37.5
NEST HEALTHCARE PRIVATE LIMITED,88,2,7,2,20,83,28118621.99,"AHMEDABAD,GUJARAT ","PLOT NO 300 GIDC NR NARI SANRAKSHA N,GRUH, BHIKSHUK GRUH ROAD, ODHAV",12.57,60.8
AMERICAN MIDDLE EASTERN MEDICAL SOLUTIONS PRIVATE,72,2,13,4,12,58,28116153.918258622,Bangalore,"NO.1/A, 4TH MAIN, GANDHI NAGAR, 2ND STAGE, KADUGONDANA HALLI,NULL",5.54,46.3
NAVRON PHARMA PRIVATE LIMITED,26,1,4,1,4,13,28092259.4,,N/AN/A,6.5,54.4
SUNSHINE PHARMACEUTICALS,305,2,13,1,1,157,28091482.75,FARIDABAD,"SHOP NO. 13,GROUND FLOOR INSIDE SLF MALL,I P COLONY SECTOR 30 - 33",23.46,47.8
JMM FORMULATION PRIVATE LIMITED,10,2,2,1,2,7,28072800.0,NAHAN,SUKETI ROADKALA AMB CONTACT NO: 918199996754,5.0,78.0
