Exporter Name,transaction_count,years_active,months_active,countries_served,drug_substances_shipped,sku_variants_shipped,total_fob_inr,city,exporter_address,avg_monthly_shipments,reliability_score
MARKSANS PHARMA LIMITED,6429,2,20,24,92,2622,14151172677.89699,"MUMBAI,MAHARASHTRA ","11TH FLOOR, LOTUS BUSINESS PARK, OFF NEW LINK ROAD, ANDHERI WEST",321.45,84.8
MANKIND PHARMA LIMITED,5436,2,20,32,67,3208,14145203575.936884,"NEW DELHI,DELHI ","208, OKHLA INDUSTRIAL ESTATE,,PHAS E III",271.8,81.2
RUBICON RESEARCH PRIVATE LIMITED,3733,2,20,10,17,1499,13672581689.396727,"BHANDUP WEST, MUMBAI ","221, GOREGAON-MULUND LINK ROAD, OFF. L.B.S. MARG,",186.65,77.8
PIRAMAL PHARMA LIMITED,2009,2,20,71,5,1144,13595613331.952919,"KURLA, MUMBAI","PIRAMAL ANANTA, PIRAMAL AGASTYA PARKKAMANI JUNCTION, LBS MARG,",100.45,77.5
PAR FORMULATIONS PRIVATE LIMITED,1777,2,20,5,12,1010,13125455797.424496,,"OLD NO.1/63, NEW NO.1/58 PUDUPAKKAMVILLAGE, VIA VANDALLUR",88.85,84.0
CAPLIN POINT LABORATORIES LIMITED,5318,2,20,21,132,1988,12396641867.878279,CHENNAI/TAMILNADU ,"NARBAVI, NO.3,LAKSHMANAN STREET, T.NAGAR,",265.9,86.0
BHARAT BIOTECH INTERNATIONAL LIMITED,533,2,20,93,1,434,12340366618.982449,,"SURVEY.NO.230,231 235, YADARAM TURKAPALLY, SHAMEERPET MANDAL",26.65,68.5
INDOCO REMEDIES LIMITED,7377,2,20,51,45,2214,11929956765.910175,MUMBAI.MAHARASHTRA ,"INDOCO HOUSE,166 CST RD.VIDYANAGRI,MARG,KALINA, SANTACRUZ (E)",368.85,82.0
WATSON PHARMA PRIVATE LIMITED,2623,2,20,16,26,2027,11017462514.518158,"ANDHERI (E), MUMBAI,MAHARASHTRA ","21-22, KALPATARU SQUARE, KONDIVITALANE, OFF ANDHERI KURLA ROAD,",131.15,73.5
RELIANCE LIFE SCIENCES PRIVATE LIMITED,1608,2,20,63,13,1065,10832862620.71133,"NAVI MUMBAI, MAHARASHTRA ","R-282,TTC AREA OF MIDC, THANE-BELAPUR ROAD, RABALE",80.4,81.2
BHARAT SERUMS AND VACCINES LIMITED,2400,2,20,80,10,1083,10500504015.075397,THANE ,"PLOT NO.A-371/372,ROAD NO.27, WAGLE INDUSTRIAL ESTATE,",120.0,65.8
BLISS GVS PHARMA LIMITED,5678,2,20,65,28,1998,9872702706.678474,MUMBAI ,"102,HYDE PARK,SAKIVIHAR ROAD ANDHERI(E)",283.9,80.5
JODAS EXPOIM PRIVATE LIMITED,965,2,20,11,31,693,9640544516.075565,"KAROL BAGH, NEW DELHI ","101, SITARAM MANSION, 718/21, JOSHI ROAD,",48.25,70.0
SANOFI INDIA LIMITED,2043,2,20,23,11,1552,9150835619.895489,"MUMBAI, MAHARASHTRA ","54-A, SIR MATHURADAS VASANJI ROAD ANDHERI -EAST",102.15,79.0
BAXTER PHARMACEUTICALS INDIA PRIVATE LIMITED,2075,2,20,47,19,883,8979390822.410856,"ELLISBRIDGE,AHMEDABD,GUJARAT,INDIA ","CLARIS CORPORATE HEAD QUARTERS, NR.PARIMAL RAILWAY CROSSING,",103.75,76.7
USV PRIVATE LIMITED,3175,2,20,40,14,2374,8825516128.588642,"MUMBAI, MAHARASHTRA. ","B.S.D.MARG, GOVANDI STATION ROAD, GOVANDI,",158.75,78.4
ZENTIVA PRIVATE LIMITED,2588,2,20,12,11,1987,8755491022.88262,"MUMBAI,MAHARASHTRA ","A-802, CRESCENZO, C/38-39,,G-BLOCK , BANDRA KURLA COMPLEX,",129.4,67.5
ENCUBE ETHICALS PRIVATE LIMITED,2685,2,20,29,20,2026,8458140360.831607,MUMBAI ,"UNIT NO.24 STEEL MADE INDL.ESTATE MAROL VILLAGE,ANDHERI (E)",134.25,76.6
GLAND PHARMA LIMITED,860,1,4,48,25,350,8340635359.217594,"HYDERABAD, ANDHRA PRADESH ","6-3-865/1/2, FLAT NO.201, GREENLAND APARTMENTS, AMEERPET,",215.0,72.3
SENTISS PHARMA PRIVATE LIMITED,1806,2,20,11,14,1516,8091399482.16404,NEW DELHI ,"212 ASHIRWAD COMMERCIAL COMPLEX D-1 GREEN PARK,",90.3,78.0
CADILA PHARMACEUTICALS LIMITED,4417,2,20,78,71,3334,7665248889.361049,"AHMEDABAD, GUJARAT ","CADILA CORPORATE CAMPUS SARKHEJ DHOLKA ROAD, BHAT",220.85,81.7
SERUM INSTITUTE OF INDIA PRIVATE LIMITED,2439,2,20,144,2,952,7644336206.393641,"PUNE, MAHARASHTRA",212/2 HADAPSAROFF:SOLI POONAWALLA ROADN/A,121.95,81.6
