entity,err_d,err_c,winner
PERTUZUMAB,3.475178516711543,2.8946199203415457,C
PETAZOLE,0.9972532385093478,2.0852040762415163,D
PHENOCAINE,0.35020202912952936,1.0697193923880928,D
PHENOXYMETHLPENICILLIN,0.8210224258418874,1.2954459749101848,D
PHENOXYMETHYLPENCILLIN,1.4190355525072231,2.190279499733058,D
PHENOXYMETHYLPENICILLIN,2.790209218592384,3.675555893026374,D
PHENYTOIN,10.023025938876955,9.253787403435496,C
PHYLLINE,2.357648079004349,2.0321993448593294,C
PIPERACILLIN,1.7617625804780488,1.5163928906280972,C
PIPRACILLIN,0.8825347075266095,0.48458037259093967,C
PITAVASTATIN,5.31210921872534,4.634570433554643,C
PONATINIB,0.28446728757698514,0.18809546742460626,C
POSACONAZOLE,13.670779035380061,13.140349288124876,C
PRAVASTATIN,24.49005225080146,23.26956494243965,C
PRAZOLE,0.8510670989230933,0.05581417082135243,C
PREDINISOLONE,3.335400330266481,1.6607720312646848,C
PREDISOLONE,0.2839504697553258,0.6054233675384655,D
PREDNISOLONE,68.74261930506094,66.99245675219987,C
PREDNISONE,7.542467696432741,0.11750203194804953,C
PREGABALIN,45.339990336673395,39.70783211910714,C
PRENISOLONE,0.503978356201785,0.701735609442043,D
PRESARTAN,7.6542164415798375,0.3746314493288878,C
PRILOCAINE,0.5704155919087563,1.436240844184393,D
PRINDOPRIL,1.2185791337592309,1.4427835232951378,D
PROCAINE,0.38471663952593715,1.1189216264058386,D
PROCTOCAINE,0.005373815579925889,0.5042756277700002,D
PROGESTERONE,0.33296287540503045,1.8572039143410564,D
PROLOL,1.3748884848118248,1.1784964064748031,C
PROPANOLOL,0.8973087587958606,0.4078331911118871,C
PROPARACAINE,31.6034188644333,25.563648818407817,C
PROPONOLOL,0.8494078037150183,1.3570369486385685,D
PROPRANOLOL,10.459085166552597,14.5519256138804,D
QUETIAPINE,31.123526048975748,27.974358200628387,C
QUINAPRIL,1.6300278158064825,0.7806395331539355,C
RABEPRAZOLE,6.484712750116074,7.3057130591064094,D
RALTEGRAVIR,2.7174949543357334,2.357289780897596,C
RAMIPRIL,13.311391305189858,12.332568666390046,C
RAMUCIRUMAB,0.4203699800680267,0.1029714558820487,C
RANIBIZUMAB,0.828268380449225,0.4389784548358069,C
RANITIDINE,6.161988726256183,6.0667068865149645,C
RAPAMYCIN,4.980476849749865,3.8037240380024735,C
RASOMYCIN,0.5055282557134082,1.3383078380931661,D
RAZUMAB,0.5719352634187125,0.15587391290065544,C
READYAZITHROMYCIN,0.0182770583282319,0.6018517759207764,D
REBEPRAZOLE,2.41941434160056,3.291543995284388,D
REMDESIVIR,2.3781320741805194,0.259001990913851,C
REMOGLIFLOZIN,0.9988314647870524,1.6431968534832722,D
RICOVIR,2.061597129033765,2.572354587528211,D
RISEDRONATE,15.50537390036509,17.478610760144925,D
RISPERIDONE,27.98052553142034,25.570715913323085,C
RITONAVIR,6.741923610510746,8.522709161532806,D
RITUXIMAB,2.8082608608892556,2.8151001802002895,D
ROPIVACAINE,3.658207009372113,5.366911096574107,D
ROSCILLIN,1.6010677634176473,1.1408325116649474,C
ROSOPRIL,2.177989531161014,4.2078702134488015,D
ROSUVASTATIN,94.74142146843934,93.74355818210023,C
ROSVASTATIN,0.1595484914585521,0.32038532535710074,D
ROXITHROMYCIN,0.561349626750415,1.071724282573573,D
ROZUVASTATIN,0.594165407182462,1.4732746510399894,D
RUPATADINE,8.385308936951606,9.560152206491626,D
