model,test_mase_t8,test_rmse_count_t8,test_mean_signed_error_t8,note
AR(1),0.865874268690066,4.102385258359646,-0.3091483193146077,n=25605
Model B (FE-OLS),0.8592139924998234,8.815361126263399,-1.1051309215399392,n=4407
Model C (PPML),0.8908229575527425,3.431259021929585,0.0085286194444227,n=25605
Model D (AB-GMM),0.864933142488489,4.096185013170759,-0.3093406474700302,n=25605
tier summary,,,,6432 pairs consecutive4=True (GMM order condition met); 27003 pairs total
Model F (GMM+XGB residual),0.8674379083243294,3.7328275138774303,-0.23797663517036938,n=25605
Model G (GMM+XGB+LGBM ensemble),0.8534088198485363,3.1793215084248523,-0.3580257841441958,n=25605
